salary,age,elevel,car,zipcode,credit,brand
119806.54,45,0,14,4,442037.71,0
106880.48,63,1,11,6,45007.18,1
78020.75,23,0,15,2,48795.32,0
63689.94,51,3,6,5,40888.88,1
50873.62,20,3,14,4,352951.50,0
130812.74,56,3,14,3,135943.02,1
136459.34,24,4,8,5,80500.56,1
103866.90,62,3,3,0,359803.89,1
72298.80,29,4,17,0,276298.70,0
37803.33,41,1,5,4,493219.27,1
63704.26,48,4,16,5,299460.23,1
128999.94,52,1,6,0,152232.51,0
57991.30,52,3,20,4,227743.75,1
82474.58,33,4,13,3,424657.50,0
63988.97,62,2,6,3,262136.31,0
132310.36,23,1,11,4,451927.60,1
113236.38,24,2,7,7,198381.90,1
120525.60,57,1,6,2,15964.68,0
121457.63,50,2,2,8,415359.23,0
89741.00,77,0,18,2,195091.93,1
95142.12,44,0,2,8,89818.29,0
87383.96,80,3,7,5,243166.61,1
21143.94,64,2,11,2,296635.25,1
34581.65,55,0,15,6,185603.25,1
37200.74,32,3,9,6,168547.08,1
60305.50,58,1,4,4,469719.50,1
32839.42,30,4,20,1,177224.36,1
45070.51,48,3,1,5,360446.39,1
92417.81,43,0,2,0,22677.45,0
107710.32,75,0,16,2,209002.41,1
148495.44,62,2,9,1,377495.30,1
78238.12,70,3,8,0,80432.58,0
97736.75,21,1,1,2,76882.25,1
91315.20,57,3,16,6,267350.96,0
125452.12,42,3,14,1,417529.83,1
38579.21,44,2,10,3,84260.28,1
38043.11,52,2,2,3,210004.59,1
49692.10,42,4,8,2,462826.15,1
101454.63,26,0,18,2,22960.80,0
123266.09,45,0,17,3,0.00,0
108356.07,26,0,9,0,193313.01,1
145227.44,51,1,5,3,436186.79,1
47038.67,37,4,11,4,26372.02,1
90380.45,28,2,17,0,0.00,0
87634.05,59,2,5,6,206711.94,1
132209.92,68,2,4,6,417555.60,1
74868.80,71,1,7,5,176808.02,0
75014.32,72,3,18,3,296145.22,1
97986.03,69,2,5,5,247553.24,1
76687.01,41,0,4,3,405797.24,0
36679.32,35,4,12,1,15727.40,1
87572.47,43,1,12,4,68500.99,0
125796.50,57,0,15,7,323423.76,0
110027.68,52,0,16,4,386734.44,0
81015.26,63,0,7,7,250036.00,1
88405.44,36,4,8,7,195042.68,0
79709.09,51,2,3,1,291992.44,0
116982.13,42,0,5,6,250699.34,0
36761.19,32,2,6,2,114826.04,1
101996.85,33,0,8,2,276545.19,0
30991.66,75,1,18,4,307978.64,0
137871.83,24,0,17,5,115781.52,1
83185.07,62,4,2,8,163108.44,1
31430.24,47,4,10,2,177297.72,1
50883.13,72,1,18,6,259957.01,0
63708.35,31,0,18,6,129263.32,0
66431.46,79,1,20,6,388763.21,0
145409.69,22,1,16,3,393137.51,1
79448.81,42,2,5,2,62604.36,0
131957.81,65,4,11,1,238253.01,1
91708.60,44,4,9,5,396255.53,0
150000.00,46,4,1,8,313158.51,1
109505.13,61,2,10,3,68952.84,0
131927.71,63,1,8,1,424565.96,1
110539.06,64,4,11,6,257476.59,1
133162.37,69,0,7,8,413996.48,1
140352.01,75,2,15,4,339276.70,1
85161.22,64,2,14,5,36491.26,1
42954.52,64,0,13,0,463502.28,0
143756.68,54,1,13,2,88560.27,1
137368.94,57,4,12,8,415156.28,1
43377.96,30,0,6,2,190336.16,1
85919.99,75,3,7,1,43412.87,1
147788.41,30,1,5,2,131963.46,1
66923.39,73,4,11,1,266925.80,0
144289.56,31,4,7,7,113120.05,1
91947.71,73,0,12,6,237813.58,1
96785.85,52,4,19,5,148748.71,0
47399.24,21,4,2,3,362188.03,1
42158.55,53,1,3,6,121961.57,1
56740.92,66,2,18,6,144605.27,0
101076.86,22,0,6,1,268532.56,1
37854.62,59,0,9,0,496484.79,1
104524.79,75,3,9,3,252602.33,1
51053.52,30,0,15,5,88354.59,0
46822.51,29,2,7,8,414381.20,0
34759.48,58,4,16,1,396818.59,1
141628.04,75,2,18,3,326686.02,1
59628.94,36,4,12,7,290262.55,0
78358.97,76,3,10,7,365827.74,1
26963.81,35,1,8,5,266219.86,1
116112.67,26,4,19,7,404450.45,1
83246.06,73,3,13,2,252877.31,1
130659.33,29,0,15,0,271194.61,1
47868.27,41,2,14,3,36230.61,1
96033.57,57,1,14,6,482692.67,0
31392.29,24,1,1,7,491295.72,1
69737.79,61,2,16,6,348396.95,0
27102.74,46,0,16,2,293842.15,1
23654.65,76,0,14,1,460399.52,1
138560.63,62,4,18,0,81219.09,1
84730.79,61,4,16,6,190860.24,1
138221.64,45,2,7,4,219282.50,1
80798.43,47,2,11,5,390780.35,0
129050.48,77,4,10,4,481644.68,1
96839.45,53,1,18,4,393853.36,0
116080.61,65,3,19,8,70909.90,1
100820.01,70,4,4,6,463076.23,1
129274.99,29,2,12,0,98820.08,1
102307.34,77,0,3,1,305063.17,1
112471.38,24,1,2,2,318564.87,1
48880.23,38,2,9,4,376145.77,1
80460.46,21,4,2,7,180388.14,0
43727.81,43,3,19,1,199837.25,1
134832.88,44,3,10,6,387388.68,1
89282.60,55,3,14,4,245925.21,0
117663.26,70,1,5,0,291348.26,1
117036.90,34,3,3,2,114259.25,1
103561.66,38,3,4,7,362072.06,1
23964.83,57,1,17,4,165441.50,1
53452.15,32,1,20,2,24755.74,0
134663.82,51,1,2,1,476990.36,1
27705.56,41,4,16,5,213908.80,1
68420.38,26,4,14,2,485034.82,0
83499.84,78,4,19,3,211182.22,1
45257.89,40,2,11,4,374850.87,1
22083.34,52,1,14,7,87643.64,1
115221.61,42,3,12,8,460387.28,0
84020.69,72,4,11,4,334105.99,1
109830.17,24,1,9,8,144156.98,1
140784.72,60,4,3,4,485468.17,1
104363.63,29,2,15,8,71762.10,1
58089.91,45,2,9,5,460439.31,1
138483.51,34,4,17,7,158932.98,1
27228.80,39,0,19,1,365463.04,1
120233.03,70,2,16,8,91005.92,1
137794.61,24,0,13,2,216481.90,1
33466.41,74,4,20,6,123852.03,0
26386.96,52,1,3,2,93758.20,1
125116.97,32,3,15,0,290177.46,1
111872.72,41,0,8,1,13674.56,0
55982.04,60,3,2,1,50869.18,0
133279.78,41,2,15,6,260987.14,1
25011.39,20,4,3,7,282742.68,1
41010.73,62,4,9,4,476510.21,1
148518.75,52,1,17,8,293916.21,1
140390.30,69,2,7,6,235410.89,1
106841.00,78,3,2,5,386222.36,1
90537.05,35,1,2,2,302056.93,0
37910.14,20,3,1,1,399464.58,1
92422.59,52,2,8,2,308886.51,0
150000.00,31,4,18,5,249790.53,1
66938.52,47,1,11,8,15198.15,1
88387.43,80,1,11,1,82333.28,1
29060.81,45,2,9,8,406164.59,1
107592.54,33,2,6,5,169847.33,1
27478.33,69,3,8,1,500000.00,0
145683.84,41,3,9,7,271596.16,1
119888.63,41,0,3,6,328779.04,0
128751.15,66,0,2,0,394010.99,1
102644.14,72,1,6,0,279655.77,1
50887.82,55,0,20,2,329172.03,1
84796.31,24,2,19,2,167741.36,0
112310.15,75,1,3,6,161946.61,1
132530.65,25,1,5,4,145812.35,1
23520.41,72,2,8,7,313318.66,0
29819.80,57,4,4,4,186745.14,1
77468.87,65,4,20,8,247147.01,1
68054.64,61,1,20,3,277300.51,0
20000.00,41,0,10,2,485644.59,1
95047.92,79,4,8,2,329922.74,1
130455.16,56,4,20,1,92299.37,1
105758.72,75,1,15,1,1482.39,1
69861.26,80,1,15,0,146050.36,0
95688.25,29,2,13,3,247280.53,0
140323.71,33,1,20,2,135551.96,1
68053.39,44,4,18,2,144930.67,1
139193.21,69,0,13,4,0.00,1
150000.00,56,1,7,4,373050.15,1
101445.01,23,2,15,2,243688.70,1
77597.74,54,2,11,7,210081.96,0
54661.20,32,0,18,7,168218.38,0
81407.64,31,4,14,8,329644.34,0
67176.57,21,0,5,1,348279.44,0
142005.05,47,2,6,8,109404.82,1
103158.63,44,1,5,0,244790.50,0
58555.51,62,2,19,3,389687.14,0
50388.49,41,0,3,5,459917.57,1
31488.72,39,0,18,5,180817.94,1
48536.88,22,2,8,1,46120.39,1
59742.61,25,0,17,5,440156.75,0
98737.84,65,3,18,3,208253.90,1
44863.38,70,4,15,3,153945.37,0
48777.81,28,0,15,7,500000.00,0
59331.01,70,3,4,2,152312.88,0
127367.22,78,0,11,2,252011.59,1
121775.83,30,1,11,8,0.00,1
138178.88,53,4,20,3,102848.19,1
58211.02,60,1,1,7,498816.71,0
127287.13,28,1,17,2,96898.42,1
44057.64,68,4,12,6,410260.76,0
54394.40,28,4,7,4,463516.59,0
68668.62,29,0,8,4,426409.17,0
93055.21,45,3,3,8,44131.25,0
